O
O=C(C(=O)O)CCC(=O)O
OO
S(CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C)C(=O)C
O=C(O)C(=O)C
O=C(O)[C@@H](N)CCC(=O)O
P(=O)(O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO)(OP(=O)(OC[C@H]1O[C@@H](n2c(=O)[nH]c(=O)cc2)[C@H](O)[C@@H]1O)O)O
O=C(O)CCC(=O)O
P(=O)(OP(=O)(O)O)(OC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)O
O=C(O)C
S(CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C)C(=O)CC(=O)O
O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)C1O)CO
P(=O)(OC[C@H]1O[C@@H](n2c(=O)[nH]c(=O)c(c2)C)C[C@@H]1O)(OP(=O)(O)O)O
SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O
O=CO
S(CC[C@H](N)C(=O)O)C
O=C(O)CN
P(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1O)(OP(=O)(OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c2nc2c1cc(c(c2)C)C)O)O
P(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1O)(OP(=O)(OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2[nH]c(=O)[nH]c(=O)c2[nH]c2c1cc(c(c2)C)C)O)O
P(=O)(OC[C@H]1O[C@@H](n2c(=O)nc(N)cc2)[C@H](O)[C@@H]1O)(O)O
P(=O)(OC[C@H]1O[C@@H](n2c3nc([nH]c(=O)c3nc2)N)[C@H](O)[C@@H]1O)(OP(=O)(O)O)O
O=C
P(=O)(O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1NC(=O)C)CO)(OP(=O)(OC[C@H]1O[C@@H](n2c(=O)[nH]c(=O)cc2)[C@H](O)[C@@H]1O)O)O
S(=O)(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O
P(=O)(O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(=O)(O)O)n1c2ncnc(N)c2nc1)(O)O
SC[C@H](N)C(=O)O
Cl
O=C(O)[C@@H](N)C
O=C(O)C=O
O=C(O)[C@@H](N)Cc1ccc(O)cc1
P(=O)(OP(=O)(O)O)(OC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C)O
P(=O)(O[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)CO)(OP(=O)(OC[C@H]1OC(n2c(=O)[nH]c(=O)cc2)[C@H](O)[C@@H]1O)O)O
P(=O)(OP(=O)(O)O)(OC/C=C(/CCC=C(C)C)\C)O
S(=O)(O)O
P(=O)(OP(=O)(OP(=O)(O)O)O)(OC[C@H]1O[C@@H](n2c3nc([nH]c(=O)c3nc2)N)[C@H](O)[C@@H]1O)O
O=C(O)[C@@H](N)CCC(=O)N
O=CC
[Cl-]
P(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c(=O)nc(N)cc2)[C@H](O)[C@@H]1O)O)(OP(=O)(O)O)O
O=C(O)[C@@H](N)CCCCN
O=C(O)[C@@H](N)CCCNC(=N)N
P(=O)(OP(=O)(O)O)(OCC=C(C)C)O
P(=O)(O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(=O)O)(OP(=O)(OC[C@H]1O[C@@H](n2c(=O)[nH]c(=O)cc2)[C@H](O)[C@@H]1O)O)O
O=c1[nH]c(nc2NC[C@@H](Nc12)CNc1ccc(C(=O)N[C@H](C(=O)O)CCC(=O)O)cc1)N
O=C(O)[C@@H](N)Cc1c2c([nH]c1)cccc2
O=C(O)[C@@H](N)CO
O=C(C(=O)O)CC(=O)O
O1[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@H](O)[C@H]1C
S
O=C(O)[C@@H](N)CC(=O)O
S(C(=O)/C=C/c1ccc(O)cc1)CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C
OC
O=C(O)[C@@H](N)Cc1ccccc1
S(CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C)C(=O)CC
O=NO
P(=O)(OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c2nc2c1cc(c(c2)C)C)(O)O
P(=O)(OC[C@H]1O[C@@H](n2c(=O)[nH]c(=O)cc2)[C@H](O)[C@@H]1O)(O)O
P(=O)(OCC(=O)CO)(O)O
S(=O)(=O)(O)O
P(=O)(OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2[nH]c(=O)[nH]c(=O)c2[nH]c2c1cc(c(c2)C)C)(O)O
P(=O)(O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@@H]1O)CO)(OP(=O)(OC[C@H]1O[C@@H](n2c3nc([nH]c(=O)c3nc2)N)[C@H](O)[C@@H]1O)O)O
P(=O)(OC[C@@H](O)C=O)(O)O
O1C([C@@H]1CC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)(C)C
O=C(O)c1c(N)cccc1
P(=O)(O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO)(O)O
O=C(O)c1ccc(O)cc1
P(=O)(OP(=O)(O)O)(OCCC(=C)C)O
S(CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C)C(=O)CCC(=O)O
O1C(O)([C@@H](O)[C@H](O)[C@H]1CO)CO
O1[C@@H]([C@H](O)[C@H](O)[C@@H](O)C1O)CO
NC
P(=O)(OC[C@H](O)CO)(O)O
Oc1c(O)cccc1
S(C(=O)c1ccccc1)CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C
O=C(O)C(=O)CC
P(=O)(O[C@H]1O[C@@H]([C@@H](O)[C@H]1O)COP(=O)(O)O)(OP(=O)(O)O)O
P(=O)(OC[C@H]1OC(O)([C@@H](O)[C@@H]1O)CO)(O)O
N(CCCCN)CCCN
S(SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O
P(=O)(OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O)(O)O
P(=O)(OC(=C)C(=O)O)(O)O
[Fe]1n2/c/3=C\C4=N/C(=C\c5n1c(c(c5C)C=C)/C=C/1\N=C(/C=c\2/c(c3CCC(=O)O)C)C(=C1C)C=C)/C(=C4CCC(=O)O)C
O[C@@H]1CC2=CC[C@H]3[C@H]4[C@@]([C@H](CC4)[C@@H](CCCC(C)C)C)(CC[C@@H]3[C@]2(CC1)C)C
NCCCCN
S(CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C)C(=O)CCCCCCCCCCCCCCC
O=C(O)[C@@H](N)CCCN
P(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c(=O)[nH]c(=O)cc2)[C@H](O)[C@@H]1O)O)(OP(=O)(O)O)O
[O-]C(=O)O
O=C(O)[C@@H](N)Cc1nc[nH]c1
P(=O)(O[C@@]1(O[C@H]([C@H](NC(=O)C)[C@@H](O)C1)[C@H](O)[C@H](O)CO)C(=O)O)(OC[C@H]1O[C@@H](n2c(=O)nc(N)cc2)[C@H](O)[C@@H]1O)O
S(C[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1O)C
OCC[N+](C)(C)C
P(=O)(OC[C@@H](O)C(=O)O)(O)O
P(=O)(OC[C@H]1OC(O)[C@H](O)[C@@H]1O)(O)O
O=C(O)/C=C/c1ccccc1
O1[C@@H](C(=C(O)C1=O)O)[C@@H](O)CO
O([C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO)[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO
O=C(O)CCN
O=C(O)c1ccccc1
P(=O)(OC[C@H]1O[C@@H](n2c3nc([nH]c(=O)c3nc2)N)[C@H](O)[C@@H]1O)(O)O
O=C(O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
Oc1c(O)ccc(c1)C(=O)O
P(=O)(OC(=O)N)(O)O
S(=O)(=O)(O)CCS
O=C(O)c1cnccc1
S(=O)(=O)([S-])O
O=C(O)[C@H](N)C
O=C(O)[C@@H](N)[C@H](CC)C
S(C(=O)/C=C/c1cc(O)c(O)cc1)CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C
OC(CO)CO
[O+]#[C-]
O=C1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)CC2)CC1)C
O=C(N)N
O=c1[nH]c(nc2NC[C@H]3N(c12)CN(C3)c1ccc(cc1)C(=O)NC(C(=O)O)CCC(=O)O)N
S(=O)(=O)(O)CCN
Oc1c(O)ccc(c1)CCN
O=C(Cc1ccccc1)C(=O)O
S(CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C)C(=O)CCC
S(C(=O)/C=C/c1cc(OC)c(O)cc1)CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C
O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)C1O)C(=O)O
P(=O)(O[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1NC(=O)C)CO)(OP(=O)(OC[C@H]1OC(n2c(=O)[nH]c(=O)cc2)[C@H](O)[C@@H]1O)O)O
Oc1c(C(=O)O)cccc1
O=C(O)[C@H]1NCCC1
O1[C@@H]([C@@H](O)[C@@H](O)C1O)CO
O=C(O)/C=C/C(=O)O
O[C@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O
[Mg]1n2c3=C4[C@H](C(=O)c3c(/c/2=C/C2=N/C(=C\c3n1c(c(c3C=C)C)/C=C/1\N=C4[C@H]([C@@H]1C)CCC(=O)O)/C(=C2CC)C)C)C(=O)OC
O=C(O)CC=O
s1c(c([n+](Cc2c(nc(nc2)C)N)c1)C)CCOP(=O)(OP(=O)(O)O)O
O=C(O)[C@@H](N)C(C)C
P(=O)(OC[C@H]1O[C@@](O)([C@@H](O)[C@@H]1O)CO)(O)O
Oc1ccc(cc1)/C=C/C(=O)O
Oc1c(O)ccc(c1)C[C@H](N)C(=O)O
O=C(O)Cc1c2c([nH]c1)cccc2
O=[N]
P(=O)(OC[C@@H](O)[C@@H](O)C(=O)CO)(O)O
O=c1[nH]c(=O)[nH]c2nc[nH]c12
SCC[C@H](N)C(=O)O
O=C(O)CC(=O)C
O1C(O)[C@H](NC(=O)C)[C@@H](O)[C@H](O)[C@H]1CO
N#C
O=C(O)CCC=O
O1[C@@H]([C@@H](O)[C@H](O)[C@H](O)C1O)CO
O1c2c(C(=O)C[C@H]1c1ccc(O)cc1)c(O)cc(O)c2
O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O)CO
P(=O)(OP(=O)(OP(=O)(O)O)O)(OC[C@H]1O[C@@H](n2c3nc[nH]c(=O)c3nc2)[C@H](O)[C@@H]1O)O
O=C(C=O)C
O[C@H]1CC(C(=C(C1)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C1=C(C[C@@H](O)CC1(C)C)C)\C)\C)/C)/C)(C)C
N(C)(C)C
O=C(O)[C@@H](N)[C@H](O)C
P(=O)(OP(=O)(OC[C@H]1OC(n2c(=O)[nH]c(=O)cc2)[C@H](O)[C@@H]1O)O)(O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O)O
P(=O)(OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c2cc2c1cc(O)cc2)(O[C@H](C(=O)N[C@H](C(=O)O)CCC(=O)N[C@H](C(=O)O)CCC(=O)O)C)O
O=C(C(=O)O)C(C)C
Oc1ccccc1
O[C@H](C(=O)O)CC(=O)O
O=C(O)[C@@H](N)CC=O
P(=O)(OC/C=C(\CC/C=C(\CC/C=C(\CC/C=C(\CC/C=C(\CC/C=C(\CC/C=C(\CC/C=C(\CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)/C)/C)/C)/C)/C)/C)(O)O
O=C(O)[C@@H](N)CC(C)C
P(=O)(OC[C@H]1O[C@@H](n2c3nc[nH]c(=O)c3nc2)[C@H](O)[C@@H]1O)(OP(=O)(O)O)O
O=c1[nH]c(=O)cc[nH]1
P(=O)(OC[C@H]1O[C@@H](n2c(=O)nc(N)cc2)[C@H](O)[C@@H]1O)(OP(=O)(O)O)O
S(CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C)C(=O)CC(=O)C
O=C(N)c1cnccc1
O1[C@H]([C@H](NC(=O)C)[C@@H](O)CC1(O)C(=O)O)[C@H](O)[C@H](O)CO
P(=O)(O[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@H]1O)C)(OP(=O)(OC[C@H]1OC(n2c(=O)[nH]c(=O)cc2)[C@H](O)[C@@H]1O)O)O
O=C(O)[C@H](O)CO
Oc1ccc(O)cc1
O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)CC2)CC1)C
OCCN
O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H](c4c(CC3)cc(O)cc4)CC2)CC1)C
O=C(O)[C@H](O)C
C(=C\CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)(/CC/C=C(/CCC=C(C)C)\C)\C
O1[C@@H](n2c(=O)[nH]c(=O)cc2)[C@H](O)[C@H](O)[C@H]1CO
O=C(Cc1ccc(O)cc1)C(=O)O
O=C(C)C
P(=O)(OC[C@H]1O[C@@H](n2c3nc[nH]c(=O)c3nc2)[C@H](O)[C@@H]1O)(O)O
o1c2c(c(=O)c(O)c1c1cc(O)c(O)cc1)c(O)cc(O)c2
O=C(O)CCCN
P(=O)(OC[C@@H](O)[C@@H](O)[C@@H](O)CN1c2[nH]c(=O)[nH]c(=O)c2Cc2c1cc(O)cc2)(O[C@H](C(=O)N[C@H](C(=O)O)CCC(=O)N[C@H](C(=O)O)CCC(=O)O)C)O
O=C(Cc1c2c([nH]c1)cccc2)C(=O)O
O([C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO)[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO
P(=O)(OC[C@H]1O[C@H](OC[C@@H](O)[C@@H](O)[C@@H](O)Cc2ccc(N[C@@H]([C@@H]3Nc4c(N[C@H]3C)nc([nH]c4=O)N)C)cc2)[C@H](O)[C@@H]1O)(O[C@H](C(=O)O)CCC(=O)O)O
P(=O)(O[C@H]1O[C@@H]([C@@H](O)[C@H]1O)CO)(O)O
O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)CO
O[C@H]([C@@H]1Nc2c(NC1)nc([nH]c2=O)N)[C@@H](O)C
Oc1c(N)c(C(=O)O)ccc1
P(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c(=O)[nH]c(=O)c(c2)C)C[C@@H]1O)O)(O[C@H]1O[C@H]([C@H](O)[C@@H](OC)C1)C)O
Nc1ccccc1
O=C(O)CNC
C(=C\C=C\C(=C\C=C\C=C(\C=C\C=C(\C=C\C=C(\CCC=C(C)C)/C)/C)/C)\C)(/C=C/C=C(/CCC=C(C)C)\C)\C
N(C(=N)N)CCCCN
S1[C@H]([C@H]2NC(=O)N[C@H]2C1)CCCCC(=O)O
O=C(O)[C@H]1N=CCC1
P(=O)(OC[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO)(O)O
O[C@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)[C@@H](O)C2)CC1)C)C(=O)CO
ON
S(CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C)C(=O)C(C)C
O=CCO
NCCCN
O1[C@@H](n2c(=O)nc(N)cc2)[C@H](O)[C@H](O)[C@H]1CO
P(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)C[C@@H]1O)O)(OP(=O)(O)O)O
O(c1c(O)ccc(c1)/C=C/C(=O)O)C
N#N
Oc1c(cc(O)cc1)CC(=O)O
n1c2c([nH]c1)ncnc2N
[Fe+2]
O=C(O)CCCCCCC/C=C\C/C=C\CCCCC
S(=O)(=O)(O)CC=O
O=C(O)[C@@H](N)CCCC(=O)O
O=C(O)[C@@H](O)C
P(=O)(O[C@@H]1[C@H](O[C@@H](OC[C@H]2O[C@H](OP(=O)(O)O)[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@H](NC(=O)C[C@H](OC(=O)CCCCCCCCCCC)CCCCCCCCCCC)[C@H]1OC(=O)C[C@H](OC(=O)CCCCCCCCCCCCC)CCCCCCCCCCC)CO[C@]1(O[C@@H]([C@H](O)[C@H](O[C@]2(O[C@@H]([C@H](O)[C@H](O)C2)[C@H](O)CO)C(=O)O)C1)[C@H](O)CO)C(=O)O)(O)O
O=C(CC(=O)O)/C=C\C(=O)O
O=C(O)[C@@H](N)CCCC=O
P(=O)(OCCC(CC/C=C(\CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)C)(O)O
[nH]1c2c(c(c1)CCN)cccc2
O=C(O)C(=O)O
Oc1c(O)ccc(c1)/C=C/C(=O)O
O=C(O)[C@H](N)CCC(=O)O
P(=O)(OP(=O)(O)O)(OP(=O)(O)O)O
O=C(O)[C@@H](N)CCCNC(=O)N
[Co+]N1C2[C@@]3(N=C([C@H]([C@@]3(CC(=O)N)C)CCC(=O)N)/C(=C/3\N=C([C@H]([C@@]3(CC(=O)N)C)CCC(=O)N)/C=C/3\N=C(/C(=C\1/[C@@]([C@H]2CC(=O)N)(CCC(=O)NC[C@H](OP(=O)(O[C@H]1[C@@H](O)[C@H](O[C@@H]1CO)n1c2c(nc1)cc(c(c2)C)C)[O-])C)C)/C)[C@H](C3(C)C)CCC(=O)N)/C)C
O[C@@H]([C@H](O)[C@H](O)CO)[C@@H](O)CO
O=c1[nH]c(=O)[nH]cc1C
O=C(O)[C@@H](N)CC(=O)N
O=C(C(=O)O)CCCC(=O)O
O=C(C(=O)O)CCCNC(=N)N
O=c1n(c(=O)[nH]c2ncn(c12)C)C
P(=O)(OCCN)(O)O
O(c1c(O)c(OC)cc(c1)/C=C/C(=O)O)C
[o+]1c(c(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CO)cc2c1cc(O)cc2O)c1cc(O)c(O)c(O)c1
O=C1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC3)C[C@@H](O)CC4)C)CC2)CC1)C
S(CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C)C(=O)/C=C/C
OC(C(=O)O)(CC(=O)O)CC(=O)O
O(C[C@H](N)C(=O)O)C(=O)C
O/C(=C/C=C)/C(=O)O
C1(C(=C(CCC1)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C1=C(CCCC1(C)C)C)\C)\C)/C)/C)(C)C
O=N(=O)O
Oc1c(c(cnc1C)CO)CO
O=c1[nH]c(nc2NCC(=Nc12)CNc1ccc(C(=O)N[C@H](C(=O)O)CCC(=O)O)cc1)N
O=C1c2c(C(=O)C(=C1C/C=C(/CCC=C(C)C)\C)C)cccc2
N(C)C
P(=O)(O[C@H]1O[C@@H](C(=O)[C@H](O)[C@H]1O)C)(OP(=O)(OC[C@H]1O[C@@H](n2c(=O)[nH]c(=O)c(c2)C)C[C@@H]1O)O)O
Oc1c(C(=O)O)cccc1O
O1[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@H](O)[C@H]1CO
O=C([C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)CC2)CC1)C)C
O(C1=C(OC)C(=O)C(=C(C1=O)C/C=C(/CCC=C(C)C)\C)C)C
[o+]1c(c(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CO)cc2c1cc(O)cc2O)c1cc(O)c(O)cc1
Oc1ccc(cc1)C
P(=O)(O)(O)CC=O
O=c1[nH]c(=O)[nH]c2ncn(c12)C
O=C(C(=O)O)[C@H](CC)C
O=C1[C@@]2([C@H]([C@H]3[C@@H](c4c(CC3)cc(O)cc4)CC2)CC1)C
O=c1[nH]c(=O)n(c2ncn(c12)C)C
P(=O)(OCc1c(c(O)c(nc1)C)C=O)(O)O
o1c2c(c(=O)cc1c1ccc(O)cc1)c(O)cc(O)c2
O([C@H]1[C@H](O)[C@@H](O)C(O[C@@H]1CO)O)[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO
[Br-]
SC
O=c1[nH]c(nc2NC[C@@H](N(c12)C)CNc1ccc(C(=O)N[C@H](C(=O)O)CCC(=O)O)cc1)N
Oc1c(O)ccc(O)c1
O=C/C=C(/C=C/C=C(/C=C/C1=C(CCCC1(C)C)C)\C)\C
O[C@H](c1ccccc1)C#N
O=C(C[C@H](O)[C@H](O)CO)C(=O)O
S(=O)(=O)(O)C[C@H](N)C(=O)O
O=C(O)[C@H](C=O)C
[o+]1c(c(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CO)cc2c1cc(O)cc2O)c1ccc(O)cc1
O=C(O)CO
O(c1c(O)ccc(c1)C(=O)O)C
O1[C@@H]2[C@@]34[C@H]([C@H](N(CC4)C)Cc4c3c1c(O)cc4)C=C[C@@H]2O
Oc1c(c(cnc1C)CO)C=O
O1c2c(C(=O)[C@H](O)[C@H]1c1cc(O)c(O)cc1)c(O)cc(O)c2
O[C@@H]1[C@]2([C@H]([C@H]3[C@@H]([C@@]4([C@H](C[C@H]3O)C[C@H](O)CC4)C)C1)CC[C@@H]2[C@@H](CCC(=O)O)C)C
[SeH]C[C@H](N)C(=O)O
O=c1[nH]c(nc2NC[C@@H](Nc12)CN(c1ccc(C(=O)N[C@H](C(=O)O)CCC(=O)O)cc1)C=O)N
S(CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C)C(=O)CC
O[C@@H](C=O)CO
Oc1ccc(cc1)CCN
P(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3nc([nH]c(=O)c3nc2)N)C[C@@H]1O)O)(OP(=O)(O)O)O
P(=O)(OC(=O)C)(O)O
OCC
NCCCCCN
O1[C@@H](C(=O)C(=O)C1=O)[C@@H](O)CO
O=C([C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC3)C[C@@H](O)CC4)C)CC2)CC1)C)C
O[C@@H](C[N+](C)(C)C)CC(=O)[O-]
O=C(O)CCCCCCCCCCCCCCC
O(c1c(O)ccc(c1)/C=C/CO)C
P(=O)(OC[C@H]1O[C@@H](n2c(N)cnc2)[C@H](O)[C@@H]1O)(O)O
S(C(=O)c1c(N)cccc1)CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C
P(=O)(OP(=O)(OC[C@@H](O)[C@@H](O)C1=Nc2c(NC1)nc([nH]c2=O)N)O)(OP(=O)(O)O)O
O1[C@@H]([C@H](O)[C@H](O)[C@@H](O)C1O)C(=O)O
