Canonical_SMILES,pattern,substruct_match
CC12CNCC(C1)OC2,CN,"(4, 3)"
CC12CNCC(C1)OC2,CNC,"(2, 3, 4)"
CC12CNCC(C1)OC2,CO,"(5, 7)"
CC12CNCC(C1)OC2,CO,"(8, 7)"
CC12CNCC(C1)OC2,COC,"(5, 7, 8)"
CC12CCOC(C1)NC2,CN,"(5, 7)"
CC12CCOC(C1)NC2,CN,"(8, 7)"
CC12CCOC(C1)NC2,CNC,"(5, 7, 8)"
CC12CCOC(C1)NC2,CO,"(3, 4)"
CC12CCOC(C1)NC2,CO,"(5, 4)"
CC12CCOC(C1)NC2,COC,"(3, 4, 5)"
CC12CCNC(C1)OC2,CN,"(3, 4)"
CC12CCNC(C1)OC2,CN,"(5, 4)"
CC12CCNC(C1)OC2,CNC,"(3, 4, 5)"
CC12CCNC(C1)OC2,CO,"(5, 7)"
CC12CCNC(C1)OC2,CO,"(8, 7)"
CC12CCNC(C1)OC2,COC,"(5, 7, 8)"
CC12CCC(NC1)OC2,CN,"(4, 5)"
CC12CCC(NC1)OC2,CN,"(6, 5)"
CC12CCC(NC1)OC2,CNC,"(4, 5, 6)"
CC12CCC(NC1)OC2,CO,"(4, 7)"
CC12CCC(NC1)OC2,CO,"(8, 7)"
CC12CCC(NC1)OC2,COC,"(4, 7, 8)"
CNC12CCC(C1)OC2,CN,"(0, 1)"
CNC12CCC(C1)OC2,CN,"(2, 1)"
CNC12CCC(C1)OC2,CNC,"(0, 1, 2)"
CNC12CCC(C1)OC2,CO,"(5, 7)"
CNC12CCC(C1)OC2,CO,"(8, 7)"
CNC12CCC(C1)OC2,COC,"(5, 7, 8)"
CCC12COC(CN1)C2,CN,"(2, 7)"
CCC12COC(CN1)C2,CN,"(6, 7)"
CCC12COC(CN1)C2,CNC,"(2, 7, 6)"
CCC12COC(CN1)C2,CO,"(3, 4)"
CCC12COC(CN1)C2,CO,"(5, 4)"
CCC12COC(CN1)C2,COC,"(3, 4, 5)"
CCC12CCC(N1)OC2,CN,"(2, 6)"
CCC12CCC(N1)OC2,CN,"(5, 6)"
CCC12CCC(N1)OC2,CNC,"(2, 6, 5)"
CCC12CCC(N1)OC2,CO,"(5, 7)"
CCC12CCC(N1)OC2,CO,"(8, 7)"
CCC12CCC(N1)OC2,COC,"(5, 7, 8)"
COC12CCC(C1)NC2,CN,"(5, 7)"
COC12CCC(C1)NC2,CN,"(8, 7)"
COC12CCC(C1)NC2,CNC,"(5, 7, 8)"
COC12CCC(C1)NC2,CO,"(0, 1)"
COC12CCC(C1)NC2,CO,"(2, 1)"
COC12CCC(C1)NC2,COC,"(0, 1, 2)"
CCC12CNC(CO1)C2,CN,"(3, 4)"
CCC12CNC(CO1)C2,CN,"(5, 4)"
CCC12CNC(CO1)C2,CNC,"(3, 4, 5)"
CCC12CNC(CO1)C2,CO,"(2, 7)"
CCC12CNC(CO1)C2,CO,"(6, 7)"
CCC12CNC(CO1)C2,COC,"(2, 7, 6)"
CCC12CCC(NC1)O2,CN,"(5, 6)"
CCC12CCC(NC1)O2,CN,"(7, 6)"
CCC12CCC(NC1)O2,CNC,"(5, 6, 7)"
CCC12CCC(NC1)O2,CO,"(2, 8)"
CCC12CCC(NC1)O2,CO,"(5, 8)"
CCC12CCC(NC1)O2,COC,"(2, 8, 5)"
CC12COCC(CN1)C2,CN,"(1, 7)"
CC12COCC(CN1)C2,CN,"(6, 7)"
CC12COCC(CN1)C2,CNC,"(1, 7, 6)"
CC12COCC(CN1)C2,CO,"(2, 3)"
CC12COCC(CN1)C2,CO,"(4, 3)"
CC12COCC(CN1)C2,COC,"(2, 3, 4)"
CC12CCC(C1)OCN2,CN,"(1, 8)"
CC12CCC(C1)OCN2,CN,"(7, 8)"
CC12CCC(C1)OCN2,CNC,"(1, 8, 7)"
CC12CCC(C1)OCN2,CO,"(4, 6)"
CC12CCC(C1)OCN2,CO,"(7, 6)"
