Peak Number,Mass,Rel. Abundance,RP,Kendrick Mass,Nom. Mass,KMD
271,424.148298,3.6289,1005945.49,423.6747,424,325
272,452.179595,3.0597,919283.09,451.6747,452,325
273,466.195241,2.0731,864116.32,465.6747,466,325
274,480.210911,1.3651,888314.96,479.6747,480,325
275,494.226571,0.7588,824556.51,493.6747,494,325
276,508.242212,0.4264,823482.63,507.6747,508,325
277,340.090752,1.0114,1079175.05,339.711,340,289
278,354.106398,2.0929,1035822.6,353.711,354,289
279,368.122065,3.3801,1032591.05,367.711,368,289
280,382.137717,3.5894,1013987.37,381.711,382,289
281,410.169025,2.9464,1010481.09,409.711,410,289
282,424.184678,1.961,982094.56,423.7111,424,289
283,438.20033,1.153,970712.66,437.7111,438,289
284,452.215969,0.6715,901478.4,451.711,452,289
285,324.080583,0.7217,1128810.75,323.7187,324,281
286,338.096227,1.6963,1103766.8,337.7187,338,281
287,352.111883,2.7344,1029299.36,351.7187,352,281
288,366.127539,3.3875,1022111.32,365.7187,366,281
289,394.158859,1.9923,994952.1,393.7188,394,281
290,408.174508,1.7553,1003226.61,407.7188,408,281
291,422.190157,0.9924,959492.66,421.7188,422,281
292,436.205813,0.5276,979369.17,435.7188,436,281
293,392.1432,3.3718,1009349.59,391.7054,392,295
294,298.080193,0.8951,1315526.65,297.7474,298,253
295,312.095839,2.2359,1226131.53,311.7474,312,253
296,326.111483,3.2675,1175191.55,325.7474,326,253
297,340.127134,3.371,1103809.28,339.7474,340,253
298,368.158446,2.4541,1014912.08,367.7474,368,253
299,382.174106,1.4022,1010647.36,381.7474,382,253
300,396.189771,0.6834,1043427.17,395.7474,396,253
301,410.20541,0.3816,952315.56,409.7474,410,253
302,468.174517,3.322,890164.89,467.6518,468,348
303,438.163944,3.2661,959788.8,437.6747,438,325
304,270.070026,0.7678,1436772.17,269.7685,270,231
305,284.085673,2.0751,1363031.48,283.7685,284,231
306,298.101323,3.1549,1298821.62,297.7685,298,231
307,312.116969,3.255,1214684.77,311.7685,312,231
308,340.14827,1.2895,1110714.29,339.7685,340,231
309,354.163926,0.7192,978751.88,353.7685,354,231
310,404.10682,0.9649,991584.94,403.6556,404,344
311,418.122477,1.9176,994525.28,417.6556,418,344
312,432.138134,2.7221,980102.06,431.6556,432,344
313,446.153773,3.1813,934599.81,445.6556,446,344
314,460.169426,3.2417,903660.01,459.6556,460,344
315,488.20074,1.9881,858456.75,487.6556,488,344
316,502.216379,1.4312,836366.14,501.6556,502,344
317,516.232029,0.8097,766326.42,515.6556,516,344
318,530.247727,0.4147,809777.36,529.6557,530,344
319,416.106826,0.8851,999908.07,415.6422,416,358
320,430.122475,1.6694,957516.07,429.6422,430,358
321,444.138126,2.3388,949777.25,443.6422,444,358
322,458.153779,3.033,901528.79,457.6422,458,358
323,472.169427,3.2169,888806.92,471.6422,472,358
324,500.200745,2.3938,846364.84,499.6422,500,358
325,514.21639,1.7869,804307.47,513.6422,514,358
326,528.232047,1.1142,814104.93,527.6422,528,358
327,542.247716,0.6033,815742.11,541.6423,542,358
328,556.263343,0.3294,752646.98,555.6422,556,358
329,256.075495,2.8232,1531376.15,255.7896,256,210
330,270.091143,3.1998,1415316.64,269.7896,270,210
331,428.106828,0.6429,994466.12,427.6288,428,371
332,442.122466,1.1236,937015.51,441.6288,442,371
333,456.138112,2.1363,888549.53,455.6288,456,371
334,470.153787,2.6715,889840.85,469.6288,470,371
335,484.169428,3.1621,852617.67,483.6288,484,371
336,512.200746,2.8829,823312.75,511.6288,512,371
337,526.216387,1.9566,791697.41,525.6288,526,371
338,540.232052,1.4182,770738.19,539.6289,540,371
339,554.24769,0.8014,741651.87,553.6288,554,371
340,568.263347,0.4276,760174.78,567.6289,568,371
341,354.142791,3.1271,1064892.18,353.7474,354,253
342,113.555844,3.1213,3783476.69,113.4291,114,-429
343,378.091175,0.4276,1056801.04,377.669,378,331
344,392.106812,0.9256,1009484.44,391.669,392,331
345,406.122462,2.0582,987399.78,405.669,406,331
346,420.138122,2.7797,994534.53,419.669,420,331
347,434.153777,3.1035,966056.78,433.669,434,331
348,462.185085,2.1571,883167.76,461.669,462,331
349,476.200728,1.6029,885632.71,475.669,476,331
350,490.216407,0.9591,876470.04,489.6691,490,331
351,504.232029,0.5424,797452.15,503.669,504,331
352,486.18509,3.0741,848402.4,485.6422,486,358
353,250.064939,0.5942,1584684.96,249.7857,250,214
354,264.080588,3.0051,1475055.58,263.7857,264,214
355,292.111888,0.7675,1276451.33,291.7857,292,214
356,306.127534,0.4629,1241518.24,305.7857,306,214
357,498.185095,2.9879,847645.21,497.6288,498,371
358,396.153372,2.9856,1019653.16,395.711,396,289
359,310.086062,1.3844,1232505.01,309.7398,310,260
360,324.101711,2.9737,1154326.72,323.7398,324,260
361,352.133016,0.4901,1038476.27,351.7398,352,260
362,424.111912,0.7784,974271.15,423.6384,424,362
363,438.127556,1.416,950005.54,437.6384,438,362
364,452.143205,2.3392,918859.07,451.6384,452,362
365,466.158868,2.5374,880154.58,465.6384,466,362
366,480.174515,2.955,872013.33,479.6384,480,362
367,508.205829,2.1536,822915.69,507.6384,508,362
368,522.221474,1.4541,786668.16,521.6384,522,362
369,536.237124,0.9084,782319.38,535.6384,536,362
370,550.252826,0.4674,767743.41,549.6384,550,362
371,380.143197,2.9426,1013547.85,379.7187,380,281
372,454.122492,0.8441,903901.74,453.6154,454,385
373,468.138133,1.3894,866691.78,467.6154,468,385
374,482.153785,2.1944,853658.52,481.6154,482,385
375,496.169438,2.6486,844843.43,495.6154,496,385
376,510.185092,2.912,817156.95,509.6154,510,385
377,538.216386,2.1513,769833.02,537.6154,538,385
378,552.232058,1.4097,765292.44,551.6155,552,384
379,566.247692,0.8635,742229.68,565.6154,566,384
380,580.263371,0.5444,730911.64,579.6155,580,384
381,178.059103,1.7795,2105410.5,177.8603,178,140
382,192.074743,2.9043,2086524.74,191.8603,192,140
383,220.106028,1.8261,1811572.4,219.8603,220,140
384,234.121671,1.2477,1735167.02,233.8603,234,140
385,248.137313,0.6053,1590127.91,247.8603,248,140
386,654.591034,0.5747,194632.28,653.8601,654,140
387,448.169424,2.8488,930524.89,447.669,448,331
388,474.185077,2.7372,879066.73,473.6556,474,344
389,366.091148,0.5012,1024950.06,365.6824,366,318
390,380.106807,0.9452,966955.46,379.6824,380,318
391,394.122469,1.4804,1022517.1,393.6824,394,318
392,408.138116,2.5803,1001780.44,407.6824,408,318
393,422.153777,2.6962,995967.44,421.6824,422,318
394,450.185073,1.6261,933781.77,449.6824,450,318
395,464.200736,0.9495,905004.68,463.6824,464,318
396,478.216402,0.6818,931114.66,477.6824,478,318
397,492.232054,0.3464,832252.57,491.6825,492,317
398,286.086053,1.7756,1312013.7,285.7666,286,233
399,300.101696,2.6303,1248445.03,299.7666,300,233
400,516.280234,2.6117,786921.68,515.7038,516,296
401,312.080585,0.9377,1230751.9,311.7321,312,268
402,326.096231,1.8735,1180265.16,325.7321,326,268
403,340.111885,2.2169,1101800.59,339.7321,340,268
404,354.127528,2.5742,1040975.65,353.7321,354,268
405,382.158848,1.5045,997895.92,381.7321,382,268
406,396.174494,0.7598,995811.08,395.7321,396,268
407,410.190152,0.5034,975974.81,409.7322,410,268
408,524.200749,2.5615,804909.66,523.6155,524,384
409,256.069628,0.3971,1543105.07,255.7837,256,216
410,270.08528,0.8454,1398018.04,269.7837,270,216
411,284.100934,2.0172,1363079.28,283.7837,284,216
412,298.116581,2.4901,1292212.52,297.7837,298,216
413,312.132231,2.5441,1217500.64,311.7837,312,216
414,340.163516,0.8903,1093810.92,339.7837,340,216
415,354.179176,0.4277,1091384.65,353.7837,354,216
416,484.13305,0.8106,845506.48,483.5925,484,407
417,498.148713,1.2576,841681.72,497.5925,498,407
418,512.164356,2.0941,821447.93,511.5925,512,407
419,526.180013,2.2045,794785.64,525.5925,526,407
420,540.195666,2.5139,801755.01,539.5925,540,407
421,568.226977,1.6909,734124.03,567.5925,568,407
422,582.242627,1.1769,715126.95,581.5925,582,407
423,596.258269,0.816,706600.78,595.5925,596,407
424,610.273994,0.4495,683410.72,609.5926,610,407
425,624.289505,0.327,600454.48,623.5925,624,407
426,226.064943,2.5063,1780065.68,225.8125,226,187
427,458.117388,0.4614,920392.45,457.6059,458,394
428,472.133048,0.9397,908327.45,471.6059,472,394
429,486.14871,1.5573,843071.78,485.6059,486,394
430,500.164365,2.1255,850908.46,499.6059,500,394
431,514.180009,2.4915,810160.97,513.6059,514,394
432,542.211321,2.0223,784357.4,541.6059,542,394
433,556.226982,1.519,770279.65,555.6059,556,394
434,570.242606,1.1415,722431.56,569.6059,570,394
435,584.258261,0.6471,694160.78,583.6059,584,394
436,598.27392,0.333,721719.82,597.6059,598,394
437,494.19018,2.4605,841761.4,493.6384,494,362
438,206.090385,2.3949,1946680.61,205.8603,206,140
439,310.01735,1.9418,1249889.08,309.6712,310,329
440,324.032998,2.3879,1143083.81,323.6712,324,329
441,352.090769,0.469,1024119.74,351.6976,352,302
442,366.106413,0.9338,1029542.68,365.6976,366,302
443,380.12207,1.416,980752.27,379.6976,380,302
444,394.137721,1.6973,1017580.18,393.6976,394,302
445,408.153377,2.3452,1029779.2,407.6977,408,302
446,436.184679,1.408,911194.91,435.6977,436,302
447,450.200348,0.9685,938598.56,449.6977,450,302
448,464.215996,0.4737,905921.35,463.6977,464,302
449,446.117409,0.5607,924580.11,445.6193,446,381
450,460.13303,1.1724,884035.7,459.6193,460,381
451,474.148689,1.6693,891279.46,473.6193,474,381
452,488.164361,2.1088,846965.85,487.6193,488,381
453,502.180006,2.3335,820550.58,501.6193,502,381
454,530.211316,1.7596,796226.88,529.6193,530,381
455,544.226986,1.2901,782356.63,543.6193,544,381
456,558.242603,0.8031,731542.39,557.6193,558,381
457,572.258278,0.4401,730454.97,571.6193,572,381
458,528.195674,2.3199,800910.7,527.6059,528,394
459,368.143187,2.3181,1001039.47,367.7321,368,268
460,466.122499,0.452,848703.99,465.602,466,398
461,480.138141,0.9826,862033.66,479.602,480,398
462,494.153799,1.5755,840267.48,493.6021,494,398
463,508.169445,2.1078,822259.84,507.602,508,398
464,522.185087,2.3161,801356.02,521.602,522,398
465,550.216412,1.738,753478.08,549.6021,550,398
466,564.232037,1.3489,733829.87,563.602,564,398
467,578.247731,0.9163,759432.23,577.6021,578,398
468,592.263376,0.5309,702182.33,591.6021,592,398
469,606.279033,0.3251,615284.11,605.6021,606,398
470,516.195667,2.2933,821332.11,515.6193,516,381
471,434.117397,0.627,968949.6,433.6327,434,367
472,448.133047,1.256,940945.46,447.6327,448,367
473,462.1487,1.624,868830.78,461.6327,462,367
474,476.164343,2.2138,874811.81,475.6327,476,367
475,490.179994,2.2526,845833.11,489.6327,490,367
476,518.211302,1.5337,787049.79,517.6327,518,367
477,532.226951,1.0388,767174.92,531.6327,532,367
478,546.242621,0.627,769367.05,545.6327,546,367
479,560.258273,0.3167,773367.39,559.6327,560,367
480,516.291156,2.252,800752.82,515.7147,516,285
481,536.200739,2.2443,773641.96,535.602,536,398
482,326.132616,2.2414,1161779.02,325.7685,326,231
483,436.16942,2.2209,953364.01,435.6824,436,318
484,422.169021,2.1963,993145.95,421.6976,422,302
485,408.116989,0.9651,1009968.82,407.6613,408,339
486,422.132645,1.6037,990175.65,421.6613,422,339
487,436.148297,2.017,949591.49,435.6613,436,339
488,450.163951,2.1793,941361.23,449.6613,450,339
489,478.195258,1.5795,855363.53,477.6613,478,339
490,492.210908,1.144,867082.89,491.6613,492,339
491,506.226569,0.7549,828716.41,505.6613,506,339
492,520.242235,0.3758,783209.88,519.6614,520,339
493,280.006796,1.5528,1369445.28,279.6942,280,306
494,294.022442,2.1599,1327343.23,293.6942,294,306
495,286.064945,0.4521,1274383.11,285.7455,286,254
496,300.080587,0.8554,1261275.47,299.7455,300,254
497,314.096232,1.8384,1173637.48,313.7455,314,254
498,328.111882,2.1315,1156967.21,327.7455,328,254
499,356.143177,1.3356,1018348.28,355.7455,356,254
500,370.158837,0.9496,986356.61,369.7455,370,254
501,384.174499,0.4851,967172.18,383.7455,384,254
502,409.964711,1.0995,1029210.55,409.507,410,493
503,423.980371,2.1293,990120.64,423.507,424,493
504,452.01167,0.9887,930564.87,451.507,452,493
505,354.091153,0.4534,1177492.39,353.6958,354,304
506,368.106808,1.1376,971681.87,367.6958,368,304
507,382.122465,1.6836,996830.33,381.6958,382,304
508,396.138121,1.7222,985618.29,395.6958,396,304
509,410.153771,2.1148,990086.01,409.6958,410,304
510,438.185082,1.1104,911757.25,437.6958,438,304
511,452.20071,0.7243,930029.67,451.6958,452,304
512,496.133029,0.5601,831856.47,495.5791,496,421
513,510.148713,1.0335,828448.33,509.5791,510,421
514,524.164376,1.4419,794372.04,523.5791,524,421
515,538.18002,1.9664,783361.92,537.5791,538,421
516,552.195667,1.9964,748928.2,551.5791,552,421
517,566.211316,2.1039,742113.47,565.5791,566,421
518,594.242636,1.2936,694855.4,593.5791,594,421
519,608.258286,0.8786,691780.71,607.5791,608,421
520,622.273918,0.533,694946.46,621.5791,622,421
521,636.289568,0.2737,638794.89,635.5791,636,421
522,340.09662,0.934,1086829.23,339.7169,340,283
523,354.112275,2.0963,1002975.15,353.7169,354,283
524,422.117397,0.7381,972195.09,421.6461,422,354
525,436.133043,1.3202,952008.22,435.6461,436,354
526,450.14869,1.8391,938762.21,449.6461,450,354
