Mass,Formula,Isomers,BS,MS,,Nominal Mass,MolGen Isomers,Beilstein,NIST MS Database,,,,,ADG/Beilstein,ADG/NIST,Nominal Mass,MolGen Isomers,Beilstein,NIST MS Database,,Nominal Mass,ADG Number of Isomers,% MOD,%BS,%NIST
128,C7H12O2,19154,1138,95,,,,,,,,,,,,,,,,,,,,,
128,C8O2,13163,0,0,,,,,,,,,,,,,,,,,,,,,
128,C8H16O,1684,637,125,,,,,,,,,,,,,,,,,,,,,
128,C9H4O,575884,1,0,,,,,,,,,,,,,,,,,,,,,
128,C9H20,35,35,35,,,,,,,,,,,,,,,,,,,,,
128,C10H8,488125,32,5,,,,,,,,,,,,,,,,,,,,,
130,H2O8,1,0,0,,,,,,,,,,,,,,,,,,,,,
130,C4H2O5,4228,2,0,,,,,,,,,,,,,,,,,,,,,
130,C5H6O4,30434,67,5,,,,,,,,,,,,,,,,,,,,,
130,C6H10O3,23838,580,45,,,,,,,,,,,,,,,,,,,,,
130,C7H14O2,4177,726,65,,,,,,126,749961,2578,245,,,,,,,,,,,,
130,C8H2O2,197786,0,0,,,,,,128,1180550,2247,283,,,,,,,,,,,,
130,C8H18O,171,130,58,,,,,,130,1615446,1698,196,,,,,,,,,,,,
130,C9H6O,985744,17,2,,,,,,132,1951288,1296,139,,,,,,,,,,,,
130,C10H10,369067,176,21,,,,,,134,2460651,1352,145,,,,,,,,,,,,
132,C3O6,130,0,0,,,,,,,,,,,,,,,,,,,,,
132,C4H4O5,8952,7,0,,,,,,,,,,,,,,,,,,,,,
132,C5H8O4,18023,122,9,,,,,,,,,,,,,,,,,,,,,
132,C6H12O3,6171,424,39,,,,,,,,,,,,,,,,,,,,,
132,C7O3,10604,0,0,,,,,,,,,,,,,,,,,,,,,
132,C7H16O2,463,241,29,,,,,,,,,,,,,,,,,,,,,
132,C8H4O2,666395,6,1,,,,,,,,,,,,,,,,,,,,,
132,C9H8O,1013745,117,17,,,,,,,,,,,,,,,,,,,,,
132,C10H12,201578,379,44,,,,,,,,,,,,,,,,,,,,,
132,C11,25227,0,0,,,,,,,,,,,,,,,,,,,,,
134,C3H2O6,1115,0,0,,,,,,,,,,,,,,,,,,,,,
134,C4H6O5,8070,17,3,,,,,,,,,,,,,,,,,,,,,
134,C5H10O4,5841,120,6,,,,,,,,,,,,,,,,,,,,,
134,C6H14O3,772,145,11,,,,,,,,,,,,,,,,,,,,,
134,C7H2O3,153809,0,0,,,,,,,,,,,,,,,,,,,,,
134,C8H6O2,1055605,63,10,,,,,,,,,,,,,,,,,,,,,
134,C9H10O,697708,368,47,,,,,,,,,,,,,,,,,,,,,
134,C10H14,81909,639,68,,,,,,,,,,,,,,,,,,,,,
134,C11H2,455822,0,0,,,,,,,,,,,,,,,,,,,,,
136,C2O7,31,0,0,,,,,,,,,,,,,,,,,,,,,
136,C3H4O6,1945,2,0,,,,,,,,,,,,,,,,,,,,,
136,C4H8O5,3528,8,0,,,,,,,,,,,,,,,,,,,,,
136,C5H12O4,869,35,3,,,,,,,,,,,,,,,,,,,,,
136,C6O4,6361,1,0,,,,,,,,,,,,,,,,,,,,,
136,C7H4O3,481262,8,1,,,,,,,,,,,,,,,,,,,,,
136,C8H8O2,989647,329,37,,,,,,,,,,,,,,,,,,,,,
136,C9H12O,338761,1020,97,,,,,,,,,,,,,,,,,,,,,
