There were 3704 Peaks found from m/z=   106.72    to m/z=   983.50.
NEGATIVE ION MODE
Noise threshold: 0.012182        Peak threshold: 0.017403

Calibration parameters: A = 144217945.493776 , B = -350102700.706502 and Trap Plate Voltage = -1.000000
Center of Mass for the Assigned Window is   391.7691

 There were ,1168 odd peaks, and ,2536 even peaks

Peak Number,Mass,Rel. Abundance,RP,Kendrick Mass,Nom. Mass,Odd/Even,Nom. Z,KMD,Series Fit,DBE,Group,,Molecular Formula
      55, 388.111867,  0.0505, 1072385.39,  387.6785,  388,   1,  -4, 321,  36,11.0,,O8 13C1 ,*,C,19,H,19,,,O,8,,,,,13C,1, ,,,,,,,,,,
      56, 402.127521,  0.0450, 1002737.49,  401.6785,  402,   1,  -4, 321,  36,11.0,,O8 13C1 ,*,C,20,H,21,,,O,8,,,,,13C,1, ,,,,,,,,,,
      57, 416.143167,  0.0543,  979808.63,  415.6785,  416,   1,  -4, 321,  36,11.0,,O8 13C1 ,*,C,21,H,23,,,O,8,,,,,13C,1, ,,,,,,,,,,
      58, 802.421583,  0.1667,  513090.37,  801.5256,  802,   1, -10, 474,  37,11.0,,N1 O6 S3 ,,C,44,H,68,N,1,O,6,S,3,,,,,,,,,,,,,,,
      59, 314.075090,  0.1650, 1291127.28,  313.7244,  314,   1,  -8, 276,  38,11.0,,O6 13C1 ,*,C,16,H,13,,,O,6,,,,,13C,1, ,,,,,,,,,,
      60, 342.106393,  0.0311, 1188364.50,  341.7244,  342,   1,  -8, 276,  38,11.0,,O6 13C1 ,*,C,18,H,17,,,O,6,,,,,13C,1, ,,,,,,,,,,
      61, 356.122042,  0.0262, 1210917.98,  355.7244,  356,   1,  -8, 276,  38,11.0,,O6 13C1 ,*,C,19,H,19,,,O,6,,,,,13C,1, ,,,,,,,,,,
      62, 336.080570,  0.0517, 1214726.46,  335.7053,  336,   1, -14, 295,  39, 0.0,,,No Hit
      63, 350.096218,  0.1618, 1150251.22,  349.7053,  350,   1, -14, 295,  39, 0.0,,,No Hit
      64, 422.138474,  0.1593,  947902.59,  421.6671,  422,   1, -12, 333,  40, 0.0,,,No Hit
      65, 467.876930,  0.1584,  863469.14,  467.3545,  468,   1,  -9,-355,  41, 0.0,,,No Hit
      66, 459.885421,  0.1147,  903214.74,  459.3719,  460,   1,  -3,-372,  42, 0.0,,,No Hit
      67, 768.229820,  0.1543,  463364.08,  767.3721,  768,   1,  -3,-372,  42, 0.0,,,No Hit
      68, 562.107126,  0.0241,  653019.97,  561.4795,  562,   1, -13,-480,  43,19.0,,O12 13C1 ,*,C,28,H,21,,,O,12,,,,,13C,1, ,,,,,,,,,,
      69, 576.122764,  0.1530,  659475.88,  575.4795,  576,   1, -13,-480,  43,19.0,,O12 13C1 ,*,C,29,H,23,,,O,12,,,,,13C,1, ,,,,,,,,,,
      70, 604.154058,  0.0137,  748429.84,  603.4795,  604,   1, -13,-480,  43,19.0,,O12 13C1 ,*,C,31,H,27,,,O,12,,,,,13C,1, ,,,,,,,,,,
      71, 618.169802,  0.0146,  551875.00,  617.4796,  618,   1, -13,-480,  43,19.0,,O12 13C1 ,*,C,32,H,29,,,O,12,,,,,13C,1, ,,,,,,,,,,
      72, 632.185352,  0.0126,  506626.67,  631.4795,  632,   1, -13,-480,  43,19.0,,O12 13C1 ,*,C,33,H,31,,,O,12,,,,,13C,1, ,,,,,,,,,,
      73, 374.117345,  0.0407, 1086309.36,  373.6996,  374,   1,  -4, 300,  44, 0.0,,,No Hit
      74, 388.132997,  0.1516, 1048102.09,  387.6996,  388,   1,  -4, 300,  44, 0.0,,,No Hit
      75, 298.111032,  0.1510, 1347657.45,  297.7782,  298,   1, -10, 222,  45, 0.0,,,No Hit
      76, 304.090738,  0.1289, 1326309.56,  303.7512,  304,   1,  -4, 249,  46, 0.0,,,No Hit
      77, 318.106389,  0.1484, 1279649.08,  317.7512,  318,   1,  -4, 249,  46, 0.0,,,No Hit
      78, 358.064922,  0.1437, 1135306.65,  357.6651,  358,   1,  -6, 335,  47,12.0,,O8 13C1 ,*,C,17,H,13,,,O,8,,,,,13C,1, ,,,,,,,,,,
      79, 386.096228,  0.0507, 1059805.06,  385.6651,  386,   1,  -6, 335,  47,12.0,,O8 13C1 ,*,C,19,H,17,,,O,8,,,,,13C,1, ,,,,,,,,,,
      80, 400.111873,  0.0545, 1027863.78,  399.6651,  400,   1,  -6, 335,  47,12.0,,O8 13C1 ,*,C,20,H,19,,,O,8,,,,,13C,1, ,,,,,,,,,,
      81, 414.127522,  0.1155,  969272.12,  413.6651,  414,   1,  -6, 335,  47,12.0,,O8 13C1 ,*,C,21,H,21,,,O,8,,,,,13C,1, ,,,,,,,,,,
      82, 428.143142,  0.0368,  997558.91,  427.6651,  428,   1,  -6, 335,  47,12.0,,O8 13C1 ,*,C,22,H,23,,,O,8,,,,,13C,1, ,,,,,,,,,,
      83, 605.849879,  0.1388,  664701.52,  605.1734,  606,   1, -11,-173,  48, 0.0,,,No Hit
      84, 516.280203,  0.1339,  797725.57,  515.7037,  516,   1,  -2, 296,  49, 5.0,,N1 O7 34S1 ,#,C,26,H,44,N,1,O,7,,,,,,,34S,1, ,,,,,,,,
      85, 330.070004,  0.1164, 1231088.13,  329.7015,  330,   1,  -6, 299,  50,11.0,,O7 13C1 ,*,C,16,H,13,,,O,7,,,,,13C,1, ,,,,,,,,,,
      86, 344.085656,  0.1330, 1169896.33,  343.7015,  344,   1,  -6, 298,  50,11.0,,O7 13C1 ,*,C,17,H,15,,,O,7,,,,,13C,1, ,,,,,,,,,,
      87, 372.116960,  0.0500, 1118292.88,  371.7015,  372,   1,  -6, 298,  50,11.0,,O7 13C1 ,*,C,19,H,19,,,O,7,,,,,13C,1, ,,,,,,,,,,
      88, 386.132604,  0.0468, 1042878.83,  385.7015,  386,   1,  -6, 298,  50,11.0,,O7 13C1 ,*,C,20,H,21,,,O,7,,,,,13C,1, ,,,,,,,,,,
      89, 386.117350,  0.1329, 1055956.40,  385.6862,  386,   1,  -6, 314,  51, 0.0,,,No Hit
      90, 678.699839,  0.1320,  529238.41,  677.9420,  678,   1,  -8,  58,  52, 0.0,,,No Hit
      91, 504.165055,  0.1317,  777215.63,  503.6021,  504,   1, -14, 398,  53, 0.0,,,No Hit
      92, 468.143942,  0.1272,  848229.29,  467.6212,  468,   1,  -8, 379,  54, 0.0,,,No Hit
      93, 426.091128,  0.0493,  942787.12,  425.6154,  426,   1,  -8, 385,  55,14.0,,O9 13C1 ,*,C,21,H,17,,,O,9,,,,,13C,1, ,,,,,,,,,,
      94, 440.106777,  0.1264,  912881.49,  439.6154,  440,   1,  -8, 385,  55,14.0,,O9 13C1 ,*,C,22,H,19,,,O,9,,,,,13C,1, ,,,,,,,,,,
      95, 468.138078,  0.0247,  856004.22,  467.6154,  468,   1,  -8, 385,  55,14.0,,O9 13C1 ,*,C,24,H,23,,,O,9,,,,,13C,1, ,,,,,,,,,,
      96, 482.153722,  0.0233,  859159.72,  481.6154,  482,   1,  -8, 385,  55,14.0,,O9 13C1 ,*,C,25,H,25,,,O,9,,,,,13C,1, ,,,,,,,,,,
      97, 496.169350,  0.0194,  801346.69,  495.6154,  496,   1,  -8, 385,  55,14.0,,O9 13C1 ,*,C,26,H,27,,,O,9,,,,,13C,1, ,,,,,,,,,,
      98, 226.064932,  0.0856, 1722009.33,  225.8125,  226,   1, -12, 187,  56, 1.0,,O8 13C1 ,,C,6,H,13,,,O,8,,,,,13C,1, ,,,,,,,,,,
      99, 436.299676,  0.1067,  899839.08,  435.8125,  436,   1, -12, 187,  56, 1.0,,O8 13C1 ,,C,21,H,43,,,O,8,,,,,13C,1, ,,,,,,,,,,
     100, 464.330966,  0.1262,  834085.41,  463.8125,  464,   1, -12, 187,  56, 1.0,,O8 13C1 ,,C,23,H,47,,,O,8,,,,,13C,1, ,,,,,,,,,,
     101, 516.291118,  0.1215,  794340.36,  515.7147,  516,   1,  -2, 285,  57, 5.0,,N1 O7 S1 13C2 ,#,C,24,H,44,N,1,O,7,S,1,,,13C,2, ,,,,,,,,,,
     102, 401.885228,  0.1207, 1049112.75,  401.4365,  402,   1,  -5,-437,  58, 0.0,,,No Hit
     103, 418.107183,  0.0303,  997950.13,  417.6403,  418,   1,  -2, 360,  59, 7.0,,O12 13C1 ,,C,16,H,21,,,O,12,,,,,13C,1, ,,,,,,,,,,
     104, 432.122824,  0.1197,  929852.88,  431.6403,  432,   1,  -2, 360,  59, 7.0,,O12 13C1 ,,C,17,H,23,,,O,12,,,,,13C,1, ,,,,,,,,,,
     105, 460.154148,  0.0286,  800519.90,  459.6404,  460,   1,  -2, 360,  59, 7.0,,O12 13C1 ,,C,19,H,27,,,O,12,,,,,13C,1, ,,,,,,,,,,
     106, 474.169744,  0.0196,  873353.94,  473.6403,  474,   1,  -2, 360,  59, 7.0,,O12 13C1 ,,C,20,H,29,,,O,12,,,,,13C,1, ,,,,,,,,,,
     107, 488.185374,  0.0227,  809640.39,  487.6403,  488,   1,  -2, 360,  59, 7.0,,O12 13C1 ,,C,21,H,31,,,O,12,,,,,13C,1, ,,,,,,,,,,
     108, 653.848471,  0.1192,  599687.13,  653.1184,  654,   1,  -5,-118,  60, 0.0,,,No Hit
     109, 322.086047,  0.1155, 1260931.89,  321.7264,  322,   1, -14, 274,  61, 4.0,,O10 13C1 ,,C,11,H,17,,,O,10,,,,,13C,1, ,,,,,,,,,,
     110, 350.117346,  0.0291, 1144551.07,  349.7264,  350,   1, -14, 274,  61, 4.0,,O10 13C1 ,,C,13,H,21,,,O,10,,,,,13C,1, ,,,,,,,,,,
     111, 378.148655,  0.0512, 1035554.06,  377.7264,  378,   1, -14, 274,  61, 4.0,,O10 13C1 ,,C,15,H,25,,,O,10,,,,,13C,1, ,,,,,,,,,,
     112, 444.101683,  0.0438,  929469.47,  443.6058,  444,   1,  -4, 394,  62,13.0,,O10 13C1 ,*,C,21,H,19,,,O,10,,,,,13C,1, ,,,,,,,,,,
     113, 458.117323,  0.1140,  855813.37,  457.6058,  458,   1,  -4, 394,  62,13.0,,O10 13C1 ,*,C,22,H,21,,,O,10,,,,,13C,1, ,,,,,,,,,,
     114, 486.148621,  0.0245,  807305.26,  485.6058,  486,   1,  -4, 394,  62,13.0,,O10 13C1 ,*,C,24,H,25,,,O,10,,,,,13C,1, ,,,,,,,,,,
     115, 500.164264,  0.0176,  827414.33,  499.6058,  500,   1,  -4, 394,  62,13.0,,O10 13C1 ,*,C,25,H,27,,,O,10,,,,,13C,1, ,,,,,,,,,,
     116, 388.117744,  0.1135, 1064059.74,  387.6844,  388,   1,  -4, 316,  63, 0.0,,,No Hit
     117, 334.064920,  0.0354, 1211758.53,  333.6919,  334,   1,  -2, 308,  64,10.0,,O8 13C1 ,*,C,15,H,13,,,O,8,,,,,13C,1, ,,,,,,,,,,
     118, 348.080568,  0.1128, 1166351.81,  347.6919,  348,   1,  -2, 308,  64,10.0,,O8 13C1 ,*,C,16,H,15,,,O,8,,,,,13C,1, ,,,,,,,,,,
