centrality,generation_formed,smiles_str
0.0,2,C(C(C(CO)C(C(CO)O)O)=O)=O
0.0,2,C(C(C(C(C=O)=O)CO)O)=O
0.0,2,C(C(C(CO)CO)=O)=O
0.0,2,C(C(C(C(C(C=O)=O)CO)O)O)=O
0.0,2,C(C(C(CO)C(C)(CO)O)=O)=O
0.0,2,C(CC(C(CCO)=O)O)(CO)=O
0.0,2,C(C(CCO)(CC(CO)=O)O)=O
0.0,2,C(C(C(C(CCO)=O)O)O)(C)=O
0.0,2,C(C(CCO)(C(C(C)=O)O)O)=O
0.0,2,C(C(C(CO)C(C)O)=O)=O
0.0,2,C(CC(C(CCO)=O)O)=O
0.0,2,C(C(CCO)(CC=O)O)=O
0.0,2,C(C(C(CO)C(CO)(CO)O)=O)=O
0.0,2,C(C(C(C(CCO)=O)O)O)(CO)=O
0.0,2,C(C(CCO)(C(C(CO)=O)O)O)=O
0.0,2,C(C(C(CO)=O)C(C(C)=O)O)=O
0.0,2,C(CC(C(C(C(C)=O)O)O)=O)=O
0.0,2,C(C(C)(C(C=O)C(CO)=O)O)=O
0.0,2,C(C(C)(C(C(CC=O)=O)O)O)=O
0.0,2,C(CO)(CC(CC(C=O)=O)O)=O
0.0,2,C(CC(CO)(CC(C=O)=O)O)=O
0.0,2,C(C(C(CO)=O)C(C(CO)O)O)=O
0.0,2,C(CC(C(C(C(CO)O)O)O)=O)=O
0.0,2,C(C(C(CO)=O)C(C=O)O)=O
0.0,2,C(CC(C(C(C=O)O)O)=O)=O
0.0,2,C(C(C(CO)=O)CO)=O
0.0,2,C(CC(C(CO)O)=O)=O
0.0,2,C(C(C(C(C=O)C(CO)=O)O)O)=O
0.0,2,C(CC(C(C(C(C=O)O)O)O)=O)=O
0.0,2,C(C(C(CO)=O)C(CO)(C)O)=O
0.0,2,C(CC(C(C(CO)(C)O)O)=O)=O
0.0,2,C(CO)(CC(CC(CO)=O)O)=O
0.0,2,C(CC(CO)(CC(CO)=O)O)=O
0.0,2,C(C)(C(C(CC(CO)=O)O)O)=O
0.0,2,C(CC(CO)(C(C(C)=O)O)O)=O
0.0,2,C(C(C(CO)=O)C(C)O)=O
0.0,2,C(CC(C(C(C)O)O)=O)=O
0.0,2,C(CC(CC(CO)=O)O)=O
0.0,2,C(CC(CO)(CC=O)O)=O
0.0,2,C(C(C(CO)=O)C(CO)(CO)O)=O
0.0,2,C(CC(C(C(CO)(CO)O)O)=O)=O
0.0,2,C(CO)(CC(C(C(CO)=O)O)O)=O
0.0,2,C(CC(CO)(C(C(CO)=O)O)O)=O
0.0,2,C(C(C(CC(C(C)=O)O)=O)O)=O
0.0,2,C(C(C)(CC(C(C=O)O)=O)O)=O
0.0,2,C(C)(C(C(CC(C=O)=O)O)O)=O
0.0,2,C(C(C(C)(CC(C=O)=O)O)O)=O
0.0,2,C(C(C(CC(C(CO)O)O)=O)O)=O
0.0,2,C(C(C(CC(C=O)O)=O)O)=O
0.0,2,C(C(C(CCO)=O)O)=O
0.0,2,C(CC(C(C=O)O)O)(C(C=O)O)=O
0.0,2,C(C(C(CC(CO)(C)O)=O)O)=O
0.0,2,C(C(C(C)(CC(CO)=O)O)O)=O
0.0,2,C(C)(C(C(C(C(C)=O)O)O)O)=O
0.0,2,C(C(C(C)(C(C(C)=O)O)O)O)=O
0.0,2,C(C(C(CC(C)O)=O)O)=O
0.0,2,C(CC(C(C(C)=O)O)O)=O
0.0,2,C(CC(C)(C(C=O)O)O)=O
0.0,2,C(C(C(CC(CO)(CO)O)=O)O)=O
0.0,2,C(C)(C(C(C(C(CO)=O)O)O)O)=O
0.0,2,C(C(C(C)(C(C(CO)=O)O)O)O)=O
0.0,2,C(C(C(C=O)C(C(C)=O)O)O)=O
0.0,2,C(C(C(C=O)C(C=O)(C)O)O)=O
0.0,2,C(CC(C(CC(C=O)=O)O)O)=O
0.0,2,C(C(CC(CC(C=O)=O)O)O)=O
0.0,2,C(C(C(C(CO)O)O)C(C=O)O)=O
0.0,2,C(C(C(C=O)C(C=O)O)O)=O
0.0,2,C(C(CO)C(C=O)O)=O
0.0,2,C(C(C(C(C=O)C(C=O)O)O)O)=O
0.0,2,C(C(C(CO)(C)O)C(C=O)O)=O
0.0,2,C(CC(C(CC(CO)=O)O)O)=O
0.0,2,C(C(CC(CC(CO)=O)O)O)=O
0.0,2,C(CC(C(C(C(C)=O)O)O)O)=O
0.0,2,C(C(CC(C(C(C)=O)O)O)O)=O
0.0,2,C(C(C(C)O)C(C=O)O)=O
0.0,2,C(CC(C(CC=O)O)O)=O
0.0,2,C(CC(CC(C=O)O)O)=O
0.0,2,C(C(C(CO)(CO)O)C(C=O)O)=O
0.0,2,C(CC(C(C(C(CO)=O)O)O)O)=O
0.0,2,C(C(CC(C(C(CO)=O)O)O)O)=O
0.0,2,C(C(C(CO)O)=O)(CC(CO)O)=O
0.0,2,C(C(CO)=O)(C(CO)C(CO)O)=O
