generation_formed,score,smiles_str
1,4.3147666337433055,C(C(C(C)=O)O)=O
2,4.237577172415215,C(C(C(CO)=O)C(CO)O)=O
2,4.230877256439883,C(C(C(CO)O)(CC=O)O)=O
2,4.218542608735036,C(CC(C(C(C)=O)O)O)=O
1,4.092852400103468,C(C(CC(CO)=O)O)=O
2,4.069924160325784,C(C)(C(C(C(C)=O)O)O)=O
2,4.065249934396591,C(C(C(C)O)O)=O
2,3.986980428523268,C(C(C(C(C)(C(C=O)O)O)O)O)=O
2,3.986980428523268,C(C(C(C=O)O)O)(CC(CO)O)=O
2,3.986980428523268,C(C(C(CO)O)(C(C(C)=O)O)O)=O
2,3.986980428523268,C(C)(C(C(CO)O)(C(C=O)O)O)=O
2,3.977100210683304,C(C(CC(CO)O)=O)=O
2,3.943044002470444,C(CC(C(C(C(C)=O)O)O)O)=O
2,3.908316112658824,C(C(CO)(C(CO)(C)O)O)=O
2,3.843327812454547,C(CC(CO)(C(C=O)O)O)=O
1,3.839512356859516,C(C)(C(C(C(CO)=O)O)O)=O
2,3.8366278964792153,C(C(C(CO)O)C(C=O)O)=O
2,3.802434412366595,C(C(C(CO)(CO)O)O)=O
2,3.772353102988448,C(C(CCO)(C(C=O)O)O)=O
2,3.772353102988448,C(C(C(CO)C(CO)O)=O)=O
2,3.768740614480223,C(C(C(C(C(C=O)O)O)O)O)=O
2,3.768740614480223,C(C(C(CO)O)(C(C=O)O)O)=O
2,3.753159608296003,C(C(C)(C(C=O)O)O)=O
2,3.737299037468504,C(C(C(C(C(CO)O)=O)O)O)(C)=O
2,3.703423067531433,C(C(CO)(CO)O)=O
2,3.6851970400427243,C(C(C(CO)(C)O)O)(CCO)=O
2,3.6851970400427243,C(CO)(C(CO)C(CO)(C)O)=O
2,3.6851970400427243,C(CO)(CC(CO)(CCO)O)=O
2,3.6851970400427243,C(C)(C(C(CO)(CCO)O)O)=O
2,3.67857648020133,C(C(C(C)(C(C=O)O)O)O)=O
2,3.660646373010125,C(C(CC(CO)(C(C=O)O)O)O)=O
2,3.660646373010125,C(CO)(C(C(CO)O)C(C=O)O)=O
2,3.660646373010125,C(CC(C=O)O)(C(C(CO)O)O)=O
2,3.660646373010125,C(C(C(CO)O)(CC(CO)=O)O)=O
2,3.6536926772211453,C(C(C(CO)O)O)(C(CO)CO)=O
2,3.6536926772211453,C(CCO)(C(CO)(C(CO)O)O)=O
2,3.616709967446398,C(CC(C(CC(CO)=O)O)O)=O
2,3.611095919809188,C(C(CO)O)(C(CO)C(CO)O)=O
2,3.611095919809188,C(CC(CO)O)(C(CO)(CO)O)=O
2,3.60703641136631,C(C(CO)O)(CC(CO)(C)O)=O
2,3.60703641136631,C(CO)(CC(C)(C(CO)O)O)=O
2,3.60703641136631,C(C)(C(C(C)(C(CO)O)O)O)=O
2,3.60703641136631,C(C)(C(CO)(C(CO)(C)O)O)=O
2,3.5753865619887373,C(C(C(C(C=O)O)O)O)=O
2,3.566138449660386,C(C(CO)(C(CO)(CCO)O)O)=O
2,3.5341332550857922,C(CO)(CC(C(C(CO)O)O)O)=O
2,3.5341332550857922,C(C)(C(C(C(C(CO)O)O)O)O)=O
2,3.5341332550857922,C(C(C(CO)O)(C(CO)(C)O)O)=O
2,3.487985021970119,C(C(C(C=O)O)O)(C(CO)CO)=O
2,3.487985021970119,C(C(CO)(C(C(CCO)=O)O)O)=O
2,3.487985021970119,C(C(CO)(C(C=O)O)O)(CCO)=O
2,3.487977876863326,C(C(CO)(C(C)(C(CO)O)O)O)=O
2,3.48030396138772,C(CO)(C(CO)CO)=O
2,3.402143366238918,C(C)(C(CO)(CO)O)=O
2,3.308306850097026,C(C(CO)C(C(C(C=O)O)O)O)=O
2,3.303567170700874,C(C(C(C(C(CO)O)O)=O)CO)=O
2,3.303567170700874,C(CC(C(CO)(C(CO)O)O)=O)=O
2,3.300432946137037,C(C(CO)C(C(C(CO)O)O)O)=O
2,3.2453838135813142,C(C(CO)C(C=O)O)(C(CO)O)=O
2,3.2453838135813142,C(C(CO)(CC(C(CO)O)=O)O)=O
2,3.2453838135813142,C(CC(C=O)O)(C(CO)(CO)O)=O
2,3.1830323632572552,C(CO)(CC(CO)(C(CO)O)O)=O
2,3.1830323632572552,C(C)(C(C(CO)(C(CO)O)O)O)=O
2,3.1830323632572552,C(C(C(CO)(C)O)O)(C(CO)O)=O
2,3.1830323632572552,C(CO)(C(CO)(C(CO)(C)O)O)=O
1,3.173963620862808,C(CC(C(CCO)=O)=O)=O
1,3.114990908140201,C(C)(C(CC(C=O)=O)O)=O
2,3.108358596986975,C(C(C(CO)(C)O)O)(O)=O
2,3.085145618370618,C(C(C(C(CO)C(CO)O)=O)O)=O
1,3.084641560516204,C(CCO)(C(C(CO)=O)O)=O
1,3.078951090178337,C1(C(C(C(C(C1)O)O)O)O)=O
1,3.078951090178337,C(C(C=O)O)=O
2,3.070079733920168,C(C(C(C(CCO)=O)O)O)(CO)=O
2,3.06629998465057,C(CC=O)=O
2,3.065140219009365,C(C(CO)(C(CO)O)O)(O)=O
1,3.013239778182353,C(CC(C(C(C)=O)O)=O)=O
2,2.9921352263306042,C(C(CO)(CC(C(C=O)O)O)O)=O
2,2.98930004013225,C(C(C(C(CO)O)O)O)(O)=O
2,2.978139318129863,C(C(CO)O)(C(CO)O)=O
2,2.978139318129863,C(CO)(C(CO)(CO)O)=O
2,2.958367100288044,C(C(C(C(C=O)=O)CO)O)(C)=O
2,2.958367100288044,C(C(CC(C=O)=O)O)(CCO)=O
1,2.955056421062793,C(C(CC(C(C)=O)=O)O)=O
2,2.89608975076105,C(C)(C(C(CC(CO)=O)O)O)=O
1,2.842554807267036,C(CCO)(CC(C=O)=O)=O
2,2.830959617695655,C(C(CO)O)(CC(C(CO)O)=O)=O
2,2.830959617695655,C(C(CO)O)(C(C(CO)=O)CO)=O
2,2.830959617695655,C(C(CO)(CO)O)(CC(CO)=O)=O
1,2.794818225852098,C(C(C=O)O)(CC(C)=O)=O
2,2.776267896941747,C(C(CO)C(C(C(CO)O)=O)O)=O
2,2.776267896941747,C(C(CO)(CC=O)O)(C(CO)O)=O
2,2.776267896941747,C(CC(C(C(CO)(CO)O)=O)O)=O
1,2.775863889208879,C(C(C(CCC=O)=O)O)=O
2,2.766180933988537,C(C(C(CO)(CCO)O)O)(O)=O
2,2.7594350870464703,C(CO)(CC(C)O)=O
2,2.7594350870464703,C(C)(C(C(C)O)O)=O
2,2.7594350870464703,C(CC(C)(CO)O)=O
2,2.757905734307017,C(CC(C(C(C(CO)O)=O)O)O)=O
2,2.757905734307017,C(C(CO)C(C(C(CO)=O)O)O)=O
2,2.757905734307017,C(CC(C(C(CO)=O)(CO)O)O)=O
2,2.754014610731858,C(CC(C(CC=O)O)O)=O
1,2.7238483201478383,C(CO)(CCC(C=O)=O)=O
2,2.703866919106688,C(C(CO)(C(C(CCO)O)O)O)=O
2,2.688020338839735,C(C(C(C)(C(CO)O)O)O)(O)=O
1,2.682853497168865,C(C1(C(C(CC1O)O)O)O)=O
1,2.682853497168865,C(C(C(C=CC=O)O)O)=O
1,2.681802156916704,C(C(CO)=O)(CC(CO)O)=O
2,2.67094515410706,C(C(CC(C(C(CO)O)=O)O)O)=O
2,2.67094515410706,C(C(CO)(CC(C(CO)=O)O)O)=O
2,2.67094515410706,C(C(CC(C(CO)=O)(CO)O)O)=O
1,2.6628766577456853,C(CC(CC(C=O)=O)O)=O
2,2.640376530191745,C(CC(C(CO)O)O)=O
2,2.640376530191745,C(C(CO)(C(C)O)O)=O
2,2.596359506202746,C(C)(C(CO)(C(C=O)O)O)=O
