count_incoming,exact_mass,generation_formed,smiles_str
3,144.042,1,C(C)(C(CC(C=O)=O)O)=O
3,102.032,1,C(C(C(C)=O)O)=O
3,132.042,1,C(C(CC(CO)=O)O)=O
3,118.027,1,C(C(C(C=O)O)O)=O
3,132.042,2,C(C(CC(CO)O)=O)=O
3,162.053,1,C1(CC(C(C(CO)O)O1)O)=O
3,144.042,2,C1(CC(C(C(C1)=O)O)O)=O
3,144.042,2,C(C1C(CC(C1O)=O)O)=O
3,144.042,2,C1(CCOC(C(C1)=O)O)=O
3,144.042,2,C1(COC(C(CC1)=O)O)=O
3,144.042,2,C(C)(C1CC(C(O)O1)=O)=O
3,144.042,2,C(CC1CC(C(O)O1)=O)=O
3,100.016,2,C(CC(C=O)=O)=O
3,72.021,2,C(CC=O)=O
3,188.068,2,C(CC(C(CC(CC=O)O)=O)O)=O
3,144.042,2,C1(C(CC(O)OCC1)=O)=O
3,144.042,2,C1(CC(OCC(C1)=O)O)=O
3,144.042,2,C1(CC(OC1C(C)=O)O)=O
3,144.042,2,C(CC1C(CC(O1)O)=O)=O
3,144.042,2,C(C)(CC(C(CO)=O)=O)=O
3,144.042,2,C(CCC(C(CO)=O)=O)=O
3,144.042,2,C(CO)(CC(C(C)=O)=O)=O
3,176.068,2,C(C)(C(C(CC(CO)=O)O)O)=O
3,146.058,2,C(CC(C(CC=O)O)O)=O
3,88.016,2,C(C(CO)=O)=O
3,146.058,2,C(C)(C(C(C(C)=O)O)O)=O
3,190.048,2,C(C(C(C(CC(C=O)O)=O)O)O)=O
3,134.058,2,C(C(CO)O)(CCO)=O
2,162.053,1,C(C1(C(C(CC1O)O)O)O)=O
2,192.063,2,C(C(CO)(CC(C(C=O)O)O)O)=O
2,144.042,1,C(C(C(C=CC=O)O)O)=O
2,144.042,2,C(C(C=CC(C=O)O)O)=O
2,144.042,2,C(C(CCC(C=O)=O)O)=O
2,192.063,2,C(C(C(C=O)O)O)(C(CO)(C)O)=O
2,192.063,2,C(C(CO)(C(C=O)O)O)(C(C)O)=O
2,192.063,2,C(C(CO)(C(C(C(C)O)=O)O)O)=O
2,162.053,2,C(C(C)O)(C(C(CO)=O)O)=O
2,104.047,2,C(CO)(C(C)O)=O
2,102.032,2,C(C(C(C)O)=O)=O
2,144.042,1,C(C(C(C(C=C)=O)O)O)=O
2,144.042,2,C(CC(C(C(C)O)=O)=O)=O
2,144.042,2,C(C(C)O)(CC(C=O)=O)=O
2,194.079,2,C(CO)(C(CO)(C(CO)(C)O)O)=O
2,180.063,2,C(CO)(C(CO)(C(CO)O)O)=O
2,164.068,2,C(CO)(C(CO)(C(C)O)O)=O
2,150.053,2,C(CO)(C(CO)(CO)O)=O
2,196.058,2,C(C(C(CO)(C(CO)O)O)O)(O)=O
2,180.063,2,C(C(C(CO)(C(CO)O)O)O)=O
